受访者编号,z_外向社交,z_尽责自律,z_情绪稳定,z_开放好奇,z_宜人友善,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
141,-1.2273,2.3512,-0.2534,1.0935,-1.5106,1.0,3.0,1.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,2.0,1.0
142,-0.3415,-0.7202,-1.6614,-0.2381,0.6348,4.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0
143,0.2491,0.6759,-1.0982,-0.5044,0.6348,4.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0
144,-1.5225,1.7928,0.8729,0.5609,-0.2846,3.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0
145,-0.932,-0.1617,-0.535,-0.2381,-0.5911,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0
146,-0.932,0.6759,0.8729,0.2945,-1.8171,5.0,2.0,1.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
147,-2.7036,2.072,0.8729,0.2945,0.0218,3.0,2.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0
148,-0.932,0.9551,1.1545,-0.2381,0.0218,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0
149,-1.8178,-0.9994,0.8729,-0.7708,-2.4301,1.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
150,-0.932,0.1175,0.5913,0.8272,0.6348,2.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,4.0
151,-0.6367,0.6759,0.3097,-0.2381,-0.2846,3.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0
152,1.1349,-0.7202,-1.943,0.2945,1.2478,5.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0
153,-1.2273,-0.4409,-0.535,0.2945,-0.2846,5.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0
154,-0.6367,0.3967,0.5913,-0.7708,-1.2041,1.0,2.0,4.0,5.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0
155,-0.932,1.7928,-1.3798,1.3598,2.4738,4.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0
156,-0.932,-0.4409,0.3097,-0.5044,-1.5106,2.0,4.0,3.0,4.0,2.0,3.0,5.0,2.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,1.0,2.0
157,0.2491,-1.2786,1.1545,-0.2381,-1.5106,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
158,-0.0462,-0.4409,-1.6614,0.5609,0.0218,4.0,2.0,1.0,3.0,2.0,5.0,4.0,1.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,1.0
159,0.2491,1.2344,0.8729,0.5609,-0.5911,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
160,0.2491,-0.9994,1.7177,-0.2381,-0.2846,3.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,1.0,3.0,1.0
161,-1.2273,0.1175,-1.943,0.0282,0.3283,2.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0
162,-1.2273,1.2344,0.3097,-0.5044,-0.8976,3.0,5.0,4.0,5.0,2.0,4.0,3.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,5.0,1.0,3.0
163,-1.8178,-0.9994,-0.535,-1.3034,-0.2846,3.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0
164,-0.6367,-0.4409,-1.0982,-0.2381,0.0218,4.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,2.0
165,1.1349,0.6759,1.1545,1.6262,0.0218,5.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,1.0
166,-0.932,1.2344,-0.8166,0.0282,-1.8171,1.0,2.0,1.0,3.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0
167,-2.4083,-1.837,0.0282,-1.5697,-0.2846,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0
168,-1.2273,-0.4409,-1.0982,0.2945,0.3283,4.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0
169,-1.2273,-0.9994,-0.8166,0.2945,-0.2846,2.0,1.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0
170,0.5443,-1.2786,-0.2534,-0.5044,-0.5911,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,1.0,1.0
171,-1.2273,-0.4409,-0.8166,0.2945,0.3283,3.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0
172,-1.8178,2.3512,-0.8166,0.2945,0.0218,2.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0
173,-0.932,1.2344,0.3097,-0.7708,0.6348,2.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,4.0
174,0.2491,0.3967,-0.2534,0.5609,1.8608,1.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0
175,-1.8178,-0.9994,-1.3798,0.2945,-1.5106,1.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0
176,0.2491,0.3967,1.4361,-1.0371,-1.5106,3.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,1.0,2.0,1.0
177,-1.2273,0.9551,0.3097,0.0282,0.0218,1.0,4.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0
178,-1.5225,-1.5578,0.3097,0.5609,-0.5911,1.0,3.0,3.0,5.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0
179,-1.2273,0.1175,0.5913,0.8272,0.0218,1.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0
180,-0.6367,-0.7202,0.8729,0.8272,-1.2041,2.0,1.0,1.0,3.0,3.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0
181,-0.0462,-0.7202,1.7177,0.0282,0.0218,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0
182,-0.6367,0.6759,0.8729,0.5609,0.3283,4.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,5.0
183,1.1349,0.9551,1.7177,1.6262,-0.2846,3.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0
184,-2.1131,-0.9994,-0.535,0.2945,-1.5106,2.0,2.0,2.0,3.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0
185,0.5443,0.3967,0.0282,0.5609,1.2478,3.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,5.0,3.0,1.0
186,-0.3415,0.1175,-0.535,-0.7708,-0.5911,2.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0
187,-3.2941,0.6759,-1.943,-1.0371,-0.2846,1.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0
188,-1.5225,0.1175,-0.8166,-0.7708,-0.5911,3.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0
189,-1.2273,0.6759,0.0282,0.5609,-1.5106,1.0,3.0,2.0,5.0,3.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0
190,-0.932,-0.1617,-1.3798,-0.2381,-0.8976,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0
191,1.1349,-0.1617,-0.2534,-0.5044,-1.5106,2.0,5.0,2.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,4.0
192,0.5443,-1.837,-1.6614,-0.5044,0.9413,4.0,1.0,2.0,3.0,3.0,5.0,4.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0
193,-0.932,0.9551,0.5913,-0.2381,0.0218,1.0,4.0,3.0,5.0,3.0,1.0,5.0,5.0,4.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0,3.0
194,-0.0462,1.2344,0.8729,0.5609,0.6348,1.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0
195,-0.3415,-0.7202,-0.8166,0.0282,0.3283,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0
196,1.1349,0.9551,-0.2534,0.5609,0.6348,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
197,1.4302,-0.7202,-1.3798,-2.3687,0.0218,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0
198,0.8396,-0.4409,0.3097,-1.0371,-1.8171,3.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0
199,0.2491,-0.1617,0.3097,0.0282,-1.5106,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0
200,-3.2941,0.1175,0.0282,-0.2381,-0.8976,3.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0
201,0.2491,-0.7202,-2.5062,1.3598,1.5543,2.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,5.0,3.0,2.0,1.0
202,1.1349,0.1175,0.0282,-0.7708,1.5543,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0
203,0.8396,-0.1617,0.0282,-0.7708,-0.2846,4.0,2.0,2.0,3.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0
204,-1.5225,0.1175,-0.8166,-0.5044,-1.5106,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,1.0,2.0
205,-0.3415,0.3967,-0.535,1.6262,0.6348,2.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,5.0
206,0.2491,1.2344,0.0282,1.6262,0.9413,5.0,2.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,5.0
207,-0.932,1.2344,-0.8166,0.2945,1.8608,2.0,3.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0
208,0.5443,-0.4409,-0.8166,0.5609,0.3283,3.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,1.0,2.0
209,-1.5225,1.2344,0.3097,0.5609,0.9413,4.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0
210,1.4302,0.1175,-2.2246,1.8925,1.2478,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,1.0
211,1.7254,0.1175,-0.8166,-0.7708,-1.8171,5.0,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,1.0
212,0.5443,0.6759,1.9993,1.3598,-1.5106,1.0,3.0,3.0,5.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,5.0
213,-0.6367,2.072,0.8729,1.3598,0.3283,4.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,2.0
214,-1.2273,0.1175,-1.0982,1.3598,-0.2846,2.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,2.0
215,1.1349,-1.837,1.1545,-2.9013,-1.8171,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
216,-0.3415,-0.1617,-0.2534,-1.0371,-0.8976,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0
217,-0.0462,0.6759,-0.2534,0.8272,0.6348,4.0,1.0,3.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0
218,1.4302,0.1175,1.4361,-0.2381,-1.2041,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0
219,1.1349,0.6759,1.7177,-0.5044,0.3283,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0
220,0.5443,-0.7202,1.4361,0.5609,0.3283,4.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,3.0
221,0.2491,1.5136,1.7177,1.3598,1.5543,4.0,5.0,1.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0
222,-2.4083,-1.2786,-1.6614,-0.7708,-0.8976,3.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0
223,1.1349,0.3967,0.5913,1.0935,1.5543,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0
224,-1.8178,-0.7202,-1.0982,-1.0371,0.3283,2.0,2.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,1.0,2.0
225,0.2491,-0.9994,1.4361,0.8272,0.0218,2.0,3.0,2.0,4.0,4.0,2.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0
226,-0.3415,0.3967,-1.943,-2.1024,1.8608,5.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0
227,-1.5225,-1.2786,1.4361,1.3598,-1.5106,2.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,1.0,3.0
228,0.5443,0.6759,0.5913,1.0935,-0.5911,3.0,5.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0
229,0.2491,-0.9994,1.7177,-1.3034,-0.2846,4.0,2.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0
230,1.7254,-0.4409,0.0282,1.0935,-0.2846,2.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0
231,0.8396,1.2344,-0.8166,0.0282,1.2478,3.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,1.0
232,-1.8178,0.1175,-1.0982,-1.3034,0.9413,1.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,1.0
233,-0.3415,-0.4409,0.0282,-0.2381,0.6348,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,1.0
234,-0.3415,0.3967,-1.3798,-2.3687,-1.2041,4.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,5.0,1.0,1.0
235,-0.0462,-1.837,0.8729,0.0282,-0.5911,1.0,1.0,1.0,3.0,3.0,3.0,5.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0
236,0.2491,2.3512,-1.0982,2.1588,1.2478,3.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0
237,1.1349,1.7928,-0.2534,0.0282,0.9413,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0
238,-0.3415,-0.9994,0.0282,-0.7708,-0.8976,2.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0
239,0.5443,-0.9994,-0.535,0.0282,0.6348,4.0,2.0,1.0,5.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0
240,-0.6367,-1.2786,-0.2534,-0.7708,-1.5106,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
241,-0.3415,-0.1617,0.5913,0.2945,1.2478,2.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0
242,-0.3415,2.072,0.3097,0.8272,0.3283,3.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0
243,-2.7036,1.7928,-2.2246,1.6262,0.0218,2.0,1.0,2.0,4.0,5.0,5.0,5.0,1.0,4.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0
244,-1.5225,-0.4409,-0.2534,-0.2381,-0.2846,5.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,2.0,1.0
245,1.4302,0.3967,1.7177,1.3598,1.2478,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,1.0
246,-0.6367,1.7928,0.8729,-1.5697,1.2478,3.0,2.0,3.0,4.0,1.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,5.0,1.0,4.0
247,0.2491,-1.2786,0.8729,0.8272,-0.8976,3.0,2.0,1.0,4.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,2.0,1.0
248,-0.0462,-0.7202,-0.2534,1.3598,1.2478,4.0,1.0,1.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
249,0.5443,-0.9994,0.3097,-0.2381,0.9413,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0
250,0.5443,-0.1617,-0.2534,-1.0371,-0.2846,3.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0
251,-0.0462,0.3967,0.5913,0.2945,1.8608,5.0,2.0,2.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,2.0
252,-0.0462,0.3967,-1.3798,0.8272,0.3283,2.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,4.0,2.0,4.0
253,0.2491,1.2344,0.3097,-1.0371,-1.5106,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
254,0.5443,0.9551,-0.8166,-1.5697,1.2478,5.0,3.0,2.0,2.0,5.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0
255,0.5443,-0.1617,-0.535,1.8925,0.0218,2.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0
256,-0.0462,0.1175,0.0282,-2.1024,-0.5911,3.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0
257,-0.0462,-0.9994,0.8729,-0.5044,-0.5911,5.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0
258,-1.8178,-0.9994,1.4361,-0.2381,-0.5911,1.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,1.0
259,0.8396,0.3967,-0.2534,0.5609,0.6348,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,5.0,1.0,5.0
260,-0.6367,0.1175,-0.2534,-0.2381,-0.5911,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
261,0.2491,0.6759,-1.3798,0.2945,0.0218,4.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
262,-0.3415,1.2344,-1.6614,1.6262,-0.2846,3.0,4.0,2.0,5.0,4.0,2.0,5.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,2.0,3.0,4.0
263,0.8396,-1.5578,1.1545,0.0282,-2.4301,5.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0
264,-0.3415,-0.9994,-0.535,0.2945,0.9413,3.0,3.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
265,-0.0462,-1.2786,-1.0982,-1.836,0.0218,3.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0
266,0.5443,-0.1617,-1.0982,0.8272,0.3283,3.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,1.0,2.0
267,1.1349,1.5136,1.7177,1.0935,0.9413,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0
268,1.4302,1.2344,-0.8166,-1.0371,1.5543,3.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,2.0
269,-1.2273,0.3967,-0.2534,1.0935,-0.8976,3.0,1.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0
270,-0.6367,-0.4409,-0.8166,0.2945,0.3283,3.0,2.0,1.0,1.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0
271,0.5443,0.3967,0.3097,-0.7708,1.2478,4.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,1.0,1.0
272,-2.1131,-0.7202,0.0282,1.6262,0.9413,2.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,2.0,1.0,5.0
273,1.1349,-0.7202,0.5913,1.3598,1.5543,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0
274,1.4302,0.3967,-0.2534,0.5609,-0.8976,5.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0
275,0.5443,-0.4409,-1.0982,2.1588,0.3283,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,4.0,3.0
276,-0.0462,-1.2786,0.0282,-1.3034,1.5543,5.0,3.0,5.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0
277,-0.0462,2.072,0.0282,-0.5044,-0.5911,2.0,1.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0
278,1.1349,-0.7202,0.8729,1.0935,-1.5106,3.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,4.0,3.0,3.0
279,-0.3415,0.1175,-1.3798,-1.836,0.6348,4.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0
280,1.4302,-2.1162,-1.943,-0.2381,1.5543,4.0,2.0,1.0,3.0,4.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,2.0
281,0.5443,1.5136,-0.535,0.0282,-0.5911,4.0,2.0,3.0,4.0,1.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0
282,-1.5225,0.9551,-0.8166,-1.5697,1.5543,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0
